Name,Team,G,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,FB,EV,Barrels,SB,playerid,DK Average
Travis Jankowski,NYM,33,48,9,0,0,0,11,2,5,0,7,0,6,79,0,3,13768,2.36
T.J. Friedl,CIN,29,100,12,4,2,0,13,7,5,0,18,2,34,87,2,5,19522,5.21
Lars Nootbaar,STL,28,68,6,2,0,2,9,7,6,0,23,0,8,91.5,2,1,21454,3.46
Jonah Bride,OAK,12,44,8,1,0,0,1,1,3,0,3,0,15,86,1,0,24703,3.25
Jed Lowrie,OAK,46,167,21,4,0,3,14,16,14,0,38,0,50,85.8,3,1,4418,4.48
Kevin Plawecki,BOS,27,83,8,2,0,1,6,5,9,0,17,2,22,89.4,0,0,13807,3.26
Abraham Toro,SEA,59,210,18,7,1,7,21,18,12,1,32,1,79,87.5,14,1,19844,4.71
Tucker Barnhart,DET,48,153,27,4,0,0,6,7,10,0,46,0,27,84.8,1,0,10200,3.06
James McCann,NYM,23,72,9,2,0,1,6,6,2,0,14,4,21,89.9,4,1,12859,3.83
Corey Dickerson,STL,38,106,14,3,0,2,11,11,6,1,20,1,30,86.8,4,0,10762,3.61
Nick Madrigal,CHC,31,115,21,3,0,0,8,2,5,0,17,1,17,86.4,0,1,20521,3.71
Kyle Higashioka,NYY,41,122,11,4,0,4,14,12,6,0,28,1,43,92,10,0,5517,3.88
Chad Wallach,LAA,10,36,3,1,0,1,3,4,3,0,7,0,10,87.5,2,0,17161,4.40
Yoan Moncada,CHW,29,113,13,3,0,3,8,12,6,1,31,1,27,87.6,5,0,17232,4.83
Kyle Isbel,KCR,37,103,16,4,1,0,8,8,3,0,23,1,22,91.2,3,2,21614,3.41
Sam Hilliard,COL,41,126,11,4,1,2,13,12,12,0,34,0,31,91.6,9,2,17954,4.02
