rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
212,Nico Hoerner,CHC,63,119,108,30,0,28.1%,0.0%,.278,.361,.083,8.4%,10.9%
213,Bryan De La Cruz,MIA,55,103,93,24,2,24.2%,12.5%,.258,.355,.097,9.7%,26.2%
214,Eugenio Suarez,- - -,130,233,200,39,8,42.7%,15.1%,.195,.385,.190,12.4%,33.0%
215,J.D. Davis,NYM,77,149,125,29,2,27.6%,9.5%,.232,.320,.088,14.1%,33.6%
216,Yoan Moncada,CHW,90,181,160,39,3,23.5%,12.5%,.244,.350,.106,8.3%,32.0%
217,Alcides Escobar,WSN,68,146,133,35,0,33.0%,0.0%,.263,.353,.090,4.8%,20.5%
218,Thairo Estrada,SFG,71,132,120,29,4,25.5%,15.4%,.242,.400,.158,7.6%,14.4%
219,Hunter Dozier,KCR,121,239,208,47,4,40.3%,6.9%,.226,.356,.130,10.9%,27.2%
220,Jonathan Villar,- - -,109,199,183,48,3,23.3%,10.0%,.262,.372,.109,7.5%,26.6%
221,Tony Kemp,OAK,84,157,125,27,2,33.3%,7.1%,.216,.280,.064,14.6%,22.3%
222,Ji-Man Choi,TBR,68,108,99,26,0,26.8%,0.0%,.263,.354,.091,7.4%,38.9%
223,Sean Murphy,OAK,113,233,198,39,9,40.1%,15.8%,.197,.379,.182,11.2%,25.3%
224,Jesse Winker,- - -,110,208,179,37,6,31.8%,14.3%,.207,.346,.140,13.5%,22.1%
225,Adam Duvall,- - -,105,211,193,38,12,57.1%,16.7%,.197,.435,.238,8.5%,31.8%
226,Miguel Sano,MIN,89,196,170,38,5,36.0%,12.5%,.224,.335,.112,12.8%,30.1%
227,Jeimer Candelario,DET,103,230,216,53,5,36.6%,8.3%,.245,.398,.153,5.2%,22.6%
228,Jeff McNeil,NYM,115,189,171,46,0,33.6%,0.0%,.269,.322,.053,7.9%,17.5%
229,Kyle Higashioka,NYY,60,118,111,24,7,55.3%,14.9%,.216,.450,.234,4.2%,22.9%
230,Clint Frazier,- - -,59,114,93,19,1,34.5%,5.0%,.204,.280,.075,17.5%,29.8%
231,Brett Gardner,NYY,73,115,95,24,1,22.7%,6.7%,.253,.305,.053,10.4%,26.1%
232,Kolten Wong,MIL,98,201,184,46,4,33.6%,7.8%,.250,.370,.120,7.0%,14.4%
233,Kevin Kiermaier,TBR,99,167,154,41,0,24.5%,0.0%,.266,.344,.078,5.4%,28.7%
234,Robinson Chirinos,- - -,56,102,89,18,3,43.9%,12.0%,.202,.382,.180,10.8%,32.4%
235,Whit Merrifield,KCR,131,303,276,71,5,37.7%,5.6%,.257,.384,.127,6.6%,12.5%
236,Kyle Seager,SEA,103,234,219,48,13,48.1%,17.3%,.219,.438,.219,5.6%,27.4%
237,Christian Yelich,MIL,127,226,198,46,4,21.3%,13.3%,.232,.348,.116,11.1%,26.1%
238,Luis Garcia,WSN,55,102,100,28,1,11.3%,11.1%,.280,.390,.110,2.0%,19.6%
239,Ryan McMahon,COL,134,266,230,52,5,32.5%,9.4%,.226,.335,.109,11.3%,24.8%
240,Jon Berti,MIA,77,149,127,26,3,24.7%,13.6%,.205,.339,.134,14.1%,26.2%
241,Ramon Urias,BAL,86,188,169,38,6,30.3%,16.7%,.225,.373,.148,9.0%,26.6%
242,Willi Castro,DET,95,187,178,49,2,30.4%,4.4%,.275,.388,.112,2.7%,16.6%
243,Brandon Lowe,TBR,118,223,205,42,13,45.5%,21.3%,.205,.429,.224,6.7%,31.8%
244,Juan Lagares,LAA,71,142,133,31,3,42.9%,6.7%,.233,.421,.188,4.2%,19.7%
245,Kevin Pillar,- - -,70,129,124,30,6,48.0%,12.8%,.242,.427,.185,2.3%,20.9%
246,J.P. Crawford,SEA,158,356,325,81,7,30.9%,8.6%,.249,.366,.117,6.2%,18.0%
247,Raimel Tapia,- - -,101,170,159,46,0,8.1%,0.0%,.289,.346,.057,4.7%,15.3%
