MLBID,t2,t4,t7,t11,t39,HR_hat,,,,,,,,,,,,,,,,,,,,,
598265,1.169,9.13,0.0108,97.68,85.73,0.121134445,,,,,,,,,,,,,,,,,,,,,
666971,1.264,12.44,0.0167,101.54,89.51,0.093163434,,,,,,,,,,,,,,,,,,,,,
656305,1.264,20.42,0.0806,102.80,89.51,0.125514617,,,,,,,,,,,,,,,,,,,,,
606132,1.169,4.14,0.0183,97.00,85.73,0.094952378,,,,,,,,,,,,,,,,,,,,,
669289,1.264,13.66,0.0156,98.88,89.51,0.098611486,,,,,,,,,,,,,,,,,,,,,
606192,1.264,10.65,0.0606,104.30,89.51,0.112878156,,,,,,,,,,,,,,,,,,,,,
665489,1.264,5.44,0.0641,108.02,89.51,0.125670423,,,,,,,,,,,,,,,,,,,,,
593160,1.264,14.98,0.0152,98.32,89.51,0.149232432,,,,,,,,,,,,,,,,,,,,,
514917,0.769,7.30,0.0000,97.70,87.64,0.074782272,,,,,,,,,,,,,,,,,,,,,
682928,0.852,11.29,0.0000,99.34,83.29,0.12376406,,,,,,,,,,,,,,,,,,,,,
660688,0.769,12.63,0.0000,98.10,87.64,0.115060053,,,,,,,,,,,,,,,,,,,,,
657041,0.769,12.46,0.0431,99.80,87.64,0.091399985,,,,,,,,,,,,,,,,,,,,,
671277,0.852,-1.29,0.0182,101.54,83.29,0.236702514,,,,,,,,,,,,,,,,,,,,,
572228,0.769,21.23,0.0286,103.78,87.64,0.192152932,,,,,,,,,,,,,,,,,,,,,
